Phone Time,9:12 hours,9:49 hours,,,
CRM Tasks,9,21,,,
RX Requests,1,0,,,
Imaging Requests ,0,2,,,
Lab Requests,0,2,,,
Appt Requests,0,3,,,
09.19.25-09.25.25,Ace,Adam,Angee,,
Members attended to,29,104,94,,
Phone Time,0:58 hours,7:46 hours,5:59 hours,,
CRM Tasks,12,20,23,***Ace was off ,09.22-09.26
RX Requests,2,1,1,,
Imaging Requests ,0,0,1,,
Lab Requests,0,0,1,,
Appt Requests,0,4,1,,
09.19.25-09.25.25,Ace,Adam,Angee,,
Members attended to,87,70,88,,
Phone Time,6:08 hours,6:41 hours,6:33 hours,,
CRM Tasks,15,21,23,,
RX Requests,0,0,5,**Adam had missing data on 09.19.25,
Imaging Requests ,0,0,0,,
Lab Requests,0,0,1,,
Appt Requests,0,1,1,,
09.05.25-09.11.25,Ace,Adam,Angee,,
Members attended to,95,78,89,,
Phone Time,6:17 hours,6:26 hours,7:15 hours,,
CRM Tasks,18,26,21,,
RX Requests,2,1,4,,
Imaging Requests ,0,0,0,,
Lab Requests,0,0,1,,
Appt Requests,1,0,0,,
08.29.25-09.04.25,Ace,Adam,Angee,,
Members attended to,81,68,74,,
Phone Time,3:23 hours,4:35 hours,4:07 hours,,
CRM Tasks,15,17,24,,
RX Requests,3,0,3,,
Imaging Requests ,0,0,1,,
Lab Requests,0,0,2,,
Appt Requests,1,0,1,,
08.22.25-08.28.25,Ace,Adam,Angee,,
Members attended to,72,124,59,,
Phone Time,5:38 hours,6:17 hours,4:34 hours,,
CRM Tasks,14,35,20,Angee was off 08.27.25,
RX Requests,1,3,1,,
Imaging Requests ,0,0,0,,
Lab Requests,0,0,0,,
Appt Requests,0,0,1,,
08.08.25-08.14.25,Ace,Adam,Angee,,
Members attended to,72,114,92,,
Phone Time,7:28 hours,5:52 hours,5:14 hours,,
CRM Tasks,21,23,26,"Ace states data frp, 08.15.25 did not save. ",
RX Requests,1,3,3,,
Imaging Requests ,1,0,0,,
Lab Requests,0,0,1,,
Appt Requests,1,2,2,,
08.08.25-08.14.25,Ace,Adam,Angee,,
Members attended to,53,125,76,,
Phone Time,3:47 hours,9:00 hours,5:13 hours,"Ace was off on 08.08.25 and states that tasks and quote did not save on the daily logs, will create a master on her PC to avoid. ",
CRM Tasks,0,?,20,Adam had tasks mixed in daily logs with all members - will separate/create a tally for the following report ,
RX Requests,0,4,2,,
Imaging Requests ,0,0,0,,
Lab Requests,0,0,2,,
Appt Requests,0,0,1,,
,,,,,
Phone Time,3:43 hours,3:16 hours,4:20 hours,"Adam was off on 08.05.25, 08.06.25, 08.07.25",
CRM Tasks,8,5,21,"Ace is missing data on the daily log on 08.01.25, 08. 08.04.25, 08.05.25",
RX Requests,1,0,4,,
Imaging Requests ,0,0,2,,
Lab Requests,2,1,1,,
Appt Requests,0,0,1,,
07.25.25-07.31.25,Ace,Adam,Angee,,
Members attended to,105,99,60,,
Phone Time,5:48 hours,4:09 hours,3:32 hours,,
CRM Tasks,18,0,16,,
RX Requests,1,4,2,,
Imaging Requests ,0,1,0,,
Lab Requests,1,1,1,,
Appt Requests,0,0,0,,
07.18.25-07.24.25,Ace,Adam,Angee,,
Members attended to,93,81,61,,
Phone Time,6:42 hours,5:18 hours,2:13 hours,,
CRM Tasks,10,0,21,***Angee was off on 08.18.25 and 08.24.25,
RX Requests,1,2,3,The team has paused outreach to members to schedule past due WC due to all the Vendor and APP changes. ,
Imaging Requests ,0,1,0,,
Lab Requests,1,0,1,,
Appt Requests,0,0,0,,
07.1.25-07.17.25,Ace,Adam,Angee,,
Members attended to,139,119,114,,
Phone Time,5:15 hours,6:58 hours,2:56 hours,,
CRM Tasks,27,25,21,***Angee was off on 04.17.25,
RX Requests,1,2,2,,
Imaging Requests ,0,1,0,,
Lab Requests,0,0,0,,
Appt Requests,0,1,1,,
07.07.25-07.10.25,Ace,Adam,Angee,,
Members attended to,97,41,82,,
Phone Time,6:05 hours,1:36 hours,1:35 hours,***Adam was off on 07.07.25 & 07.08.25. Angee was off on 07.08.25,
CRM Tasks,9,9,18,,
RX Requests,1,0,0,,
Imaging Requests ,0,0,0,,
Lab Requests,0,0,2,,
Appt Requests,1,0,0,,
06.27.25-07.03.25,Ace,Adam,Angee,,
Members attended to,99,91,111,*** Acelyn was off on 06.27 & 06.30. Adam 1/2 day on 07.03.25,
Phone Time,3:48 hours,5:15 hours,3:08 hours,,
CRM Tasks,22,19,25,,
RX Requests,1,2,1,,
Imaging Requests ,0,0,0,,
Lab Requests,0,2,2,,
Appt Requests,1,0,1,,
06.20.25-06.26.25,Ace,Adam,Angee,Leo,
Members attended to,174,119,139,,
Phone Time,6:35 hours,5:45 hours,3:16 hours,,
CRM Tasks,30,38,19,,
RX Requests,4,5,2,,
Imaging Requests ,0,0,0,,
Lab Requests,1,0,0,,
Appt Requests,0,1,1,,
05.06.25-06.12.25,Ace,Adam,Angee,Leo,
Members attended to,132,76,149,,
Phone Time,3:19 hours,2:53 minutes,3:53 hours,,
CRM Tasks,15,25,18,,
RX Requests,0,1,1,,
Imaging Requests ,0,0,0,,
Lab Requests,0,0,0,,
Appt Requests,0,0,1,,
05.06.25-06.12.25,Ace,Adam,Angee,Leo,
Members attended to,103,152,152,n/a,
Phone Time,5:03 hours,8:49 hours,4:05 hours,n/a,
CRM Tasks,,,,n/a,
RX Requests,3,0,1,n/a,
Imaging Requests ,0,0,1,n/a,
Lab Requests,0,1,0,n/a,
Appt Requests,1,0,0,n/a,
05.30.25-06.05.25,Ace,Adam,Angee,Leo,Julia
Members attended to,20,132,141,7,38
Phone Time,1:30 hours,7:33 hours,4:27 hours,3:17 hours,2:16 hours
CRM Tasks,9,22,30,N/A,27
RX Requests,1,6,1,,1
Imaging Requests ,0,0,0,,
Lab Requests,0,1,0,,
Appt Requests,0,0,0,,
05.23.25-05.29.25,Ace,Adam,Angee,Leo,
Members attended to,71,106,92,N/A,
Phone Time,4:17 hours,5:17 hours,3:04 hours,0:46 hours,
CRM Tasks,20,13,24,N/A,
RX Requests,2,1,1,,
Imaging Requests ,0,0,1,,
Lab Requests,0,1,2,,
Appt Requests,0,0,0,,
05.16.25-05.22.25,Ace,Adam,Angee,Leo,
Members attended to,42,94,94,2,
Phone Time,8:01 hours,1:44 hours,7:53 hours,1:35 hours,
CRM Tasks,10,23,20,N/A,
RX Requests,4,0,3,N/A,
Imaging Requests ,0,0,0,N/A,
Lab Requests,0,0,0,N/A,
Appt Requests,0,0,0,N/A,
05.09.25-05.15.25,Ace,Adam,Angee,Leo,
Members attended to,42,40,62,5,
Phone Time,4:37 hours,4:05 hours,4:41 hours,0:41 hours,
CRM Tasks,13,20,12,N/A,
RX Requests,1,0,5,N/A,***Ace experienced a power outage and lost data for 05.15.25
Imaging Requests ,0,0,0,N/A,
Lab Requests,0,0,0,N/A,
Appt Requests,0,0,1,N/A,
05.02.25-05.08.25,Ace,Adam,Angee,Leo,
Members attended to,64,63,49,6,
Phone Time,3:34 hours,7:53 hours,3:55 hours,2:22 hours,
CRM Tasks,16,31,13,N/A,
RX Requests,1,1,1,N/A,
Imaging Requests ,0,0,0,N/A,
Lab Requests,0,0,0,N/A,
Appt Requests,0,0,1,N/A,
04.25.25 - 05.01.25,Ace,Adam,Angee,Leo,
Members attended to,112,32,59,,
Phone Time,9:23 hours,9:11 hours,6:34 hours,2:22 hours,
CRM Tasks,14,20,28,N/A,
RX Requests,2,0,1,N/A,
Imaging Requests ,0,0,0,N/A,
Lab Requests,0,0,0,N/A,
Appt Requests,0,1,0,N/A,
04.18.25 - 04.24.25,Ace,Adam,Angee,Leo,
Members attended to,71,32,72,5,
Phone Time,6:09 hours,3:43 hours,4:36 hours,3:14 hours,
CRM Tasks,6,15,27,N/A,
RX Requests,0,0,2,N/A,
Imaging Requests ,0,0,0,N/A,
Lab Requests,0,0,0,N/A,
Appt Requests,0,0,1,N/A,
04.04.25 - 04.10.25,Ace,Adam,Angee,Leo,
Members attended to,99,46,73,6,
Phone Time,8:43 hours,5:17 hours,5:33 hours,1:48 hours,
CRM Tasks,12,15,27,N/A,
RX Requests,1,0,3,N/A,
Imaging Requests ,0,0,0,N/A,
Lab Requests,0,0,0,N/A,
Appt Requests,0,0,1,N/A,
03.28.25 - 04.03.25,Ace,Adam,Angee,,
Members attended to,67,26,89,,
Phone Time,9:26 hours,5:59 hours,5:41 hours,,
CRM Tasks,9,N?A,21,,
RX Requests,4,0,4,Incomplete 3,
Imaging Requests ,0,0,0,,
Lab Requests,0,0,0,Incomplete 1,
Appt Requests,0,0,1,,
,,,,,
03.20.25 - 03.27.25,Ace,Adam,Angee,,
Members attended to,65,14,74,,
Phone Time,9:30 hours,7:50 hours,5:34 hours,,
CRM Tasks,28,N?A,27,,
RX Requests,1,n/a,1,,
Imaging Requests ,0,0,0,,
Lab Requests,0,0,0,,
Appt Requests,0,0,3,,
